L_rlu,Qz_A_inv,bandwidth_sigma_fraction,I_HT_raw_p_0p01,I_HT_bandwidth_avg_p_0p01,I_HT_raw_p_0p001,I_HT_bandwidth_avg_p_0p001,I_HT_raw_p_0p0001,I_HT_bandwidth_avg_p_0p0001,I_HT_raw_p_0p0,I_HT_bandwidth_avg_p_0p0
0.01,0.002194156064806393,0.006999999999999999,8.063995550905235e+17,8.065174504069349e+17,8.063995550905235e+17,8.065174504069349e+17,8.063995550905235e+17,8.065174504069349e+17,8.063995550905235e+17,8.065174504069349e+17
0.011,0.0024135716712870322,0.006999999999999999,6.501490469226026e+17,6.504038794003127e+17,6.501490469226026e+17,6.504038794003127e+17,6.501490469226026e+17,6.504038794003127e+17,6.501490469226026e+17,6.504038794003127e+17
0.012,0.0026329872777676715,0.006999999999999999,5.065446337664965e+17,5.069373719848959e+17,5.065446337664965e+17,5.069373719848959e+17,5.065446337664965e+17,5.069373719848959e+17,5.065446337664965e+17,5.069373719848959e+17
0.013000000000000001,0.002852402884248311,0.006999999999999999,3.788377406856099e+17,3.7935856440268294e+17,3.788377406856099e+17,3.7935856440268294e+17,3.788377406856099e+17,3.7935856440268294e+17,3.788377406856099e+17,3.7935856440268294e+17
0.014,0.00307181849072895,0.006999999999999999,2.6930880222107978e+17,2.6993773296432154e+17,2.6930880222107978e+17,2.6993773296432154e+17,2.6930880222107978e+17,2.6993773296432154e+17,2.6930880222107978e+17,2.6993773296432154e+17
0.015,0.0032912340972095894,0.006999999999999999,1.7922420671971574e+17,1.799325864787654e+17,1.7922420671971574e+17,1.799325864787654e+17,1.7922420671971574e+17,1.799325864787654e+17,1.7922420671971574e+17,1.799325864787654e+17
0.016,0.0035106497036902287,0.006999999999999999,1.088514500637492e+17,1.0960413903136406e+17,1.088514500637492e+17,1.0960413903136406e+17,1.088514500637492e+17,1.0960413903136406e+17,1.088514500637492e+17,1.0960413903136406e+17
0.017,0.003730065310170868,0.006999999999999999,5.752870273244953e+16,5.828680728978248e+16,5.752870273244953e+16,5.828680728978248e+16,5.752870273244953e+16,5.828680728978248e+16,5.752870273244953e+16,5.828680728978248e+16
0.018000000000000002,0.003949480916651507,0.006999999999999999,2.3781748111223356e+16,2.4505647146650196e+16,2.3781748111223356e+16,2.4505647146650196e+16,2.3781748111223356e+16,2.4505647146650196e+16,2.3781748111223356e+16,2.4505647146650196e+16
0.019,0.004168896523132146,0.006999999999999999,5478586589112164.0,6131001315909706.0,5478586589112164.0,6131001315909706.0,5478586589112164.0,6131001315909706.0,5478586589112164.0,6131001315909706.0
0.02,0.004388312129612786,0.006999999999999999,10081161640314.191,558932621153685.3,10081161640314.191,558932621153685.3,10081161640314.191,558932621153685.3,10081161640314.191,558932621153685.3
0.021,0.004607727736093426,0.006999999999999999,4483950927952559.0,4904770180602922.0,4483950927952559.0,4904770180602922.0,4483950927952559.0,4904770180602922.0,4483950927952559.0,4904770180602922.0
0.022,0.0048271433425740645,0.006999999999999999,1.5919240978247438e+16,1.6196937561946614e+16,1.5919240978247438e+16,1.6196937561946614e+16,1.5919240978247438e+16,1.6196937561946614e+16,1.5919240978247438e+16,1.6196937561946614e+16
0.023,0.005046558949054703,0.006999999999999999,3.142908838334693e+16,3.1558939238435384e+16,3.142908838334693e+16,3.1558939238435384e+16,3.142908838334693e+16,3.1558939238435384e+16,3.142908838334693e+16,3.1558939238435384e+16
0.024,0.005265974555535343,0.006999999999999999,4.838108123984423e+16,4.8368869897621736e+16,4.838108123984423e+16,4.8368869897621736e+16,4.838108123984423e+16,4.8368869897621736e+16,4.838108123984423e+16,4.8368869897621736e+16
0.025,0.005485390162015983,0.006999999999999999,6.452663505432793e+16,6.438794350784779e+16,6.452663505432793e+16,6.438794350784779e+16,6.452663505432793e+16,6.438794350784779e+16,6.452663505432793e+16,6.438794350784779e+16
